ID,PACIENTE,EXPERIMENTADOR,DATA,HORA,CONDICAOVERDADEIRA,TEMPOREACAO,CONDICAO,TENTATIVA,RESULTADO
646,Paciente1,Experimento 1,30/11/2019 00:00:00,16:48                                   ,Dia,5.1816741,congruente                              ,1,1
647,Paciente1,Experimento 1,30/11/2019 00:00:00,16:48                                   ,Dia,2.1996403,congruente                              ,2,1
648,Paciente1,Experimento 1,30/11/2019 00:00:00,16:48                                   ,Dia,1.9098475,congruente                              ,3,1
649,Paciente1,Experimento 1,30/11/2019 00:00:00,16:48                                   ,Noite,2.1961687,congruente                              ,4,1
650,Paciente1,Experimento 1,30/11/2019 00:00:00,16:48                                   ,Dia,2.1457649,congruente                              ,5,1
651,Paciente1,Experimento 1,30/11/2019 00:00:00,16:48                                   ,Noite,1.9320821,congruente                              ,6,1
652,Paciente1,Experimento 1,30/11/2019 00:00:00,16:48                                   ,Noite,1.882079,congruente                              ,7,1
653,Paciente1,Experimento 1,30/11/2019 00:00:00,16:48                                   ,Noite,1.832303,congruente                              ,8,1
654,Paciente1,Experimento 1,30/11/2019 00:00:00,16:48                                   ,Dia,1.7430253,congruente                              ,9,1
655,Paciente1,Experimento 1,30/11/2019 00:00:00,16:48                                   ,Dia,1.9541892,congruente                              ,10,1
656,Paciente1,Experimento 1,30/11/2019 00:00:00,16:48                                   ,Dia,1.9023523,congruente                              ,11,1
657,Paciente1,Experimento 1,30/11/2019 00:00:00,16:48                                   ,Dia,1.825064,congruente                              ,12,1
658,Paciente1,Experimento 1,30/11/2019 00:00:00,16:49                                   ,Noite,4.3522227,incongruente                            ,1,1
659,Paciente1,Experimento 1,30/11/2019 00:00:00,16:49                                   ,Noite,2.3531837,incongruente                            ,2,1
660,Paciente1,Experimento 1,30/11/2019 00:00:00,16:49                                   ,Noite,1.8928625,incongruente                            ,3,1
661,Paciente1,Experimento 1,30/11/2019 00:00:00,16:49                                   ,Dia,2.158435,incongruente                            ,4,1
662,Paciente1,Experimento 1,30/11/2019 00:00:00,16:49                                   ,Dia,2.0034077,incongruente                            ,5,1
663,Paciente1,Experimento 1,30/11/2019 00:00:00,16:49                                   ,Dia,1.857541,incongruente                            ,6,1
664,Paciente1,Experimento 1,30/11/2019 00:00:00,16:49                                   ,Dia,1.8958054,incongruente                            ,7,1
665,Paciente1,Experimento 1,30/11/2019 00:00:00,16:49                                   ,Noite,2.6122088,incongruente                            ,8,1
666,Paciente1,Experimento 1,30/11/2019 00:00:00,16:49                                   ,Dia,2.0109721,incongruente                            ,9,1
667,Paciente1,Experimento 1,30/11/2019 00:00:00,16:49                                   ,Noite,2.107698,incongruente                            ,10,1
668,Paciente1,Experimento 1,30/11/2019 00:00:00,16:49                                   ,Dia,1.8823968,incongruente                            ,11,1
669,Paciente1,Experimento 1,30/11/2019 00:00:00,16:49                                   ,Dia,2.1895187,incongruente                            ,12,1
670,Paciente1,Experimento 1,30/11/2019 00:00:00,16:50                                   ,Dia*,4.658694,mista                                   ,1,1
671,Paciente1,Experimento 1,30/11/2019 00:00:00,16:50                                   ,Dia,2.6798781,mista                                   ,2,1
672,Paciente1,Experimento 1,30/11/2019 00:00:00,16:50                                   ,Noite,3.9581531,mista                                   ,3,1
673,Paciente1,Experimento 1,30/11/2019 00:00:00,16:50                                   ,Dia,1.9895542,mista                                   ,4,1
674,Paciente1,Experimento 1,30/11/2019 00:00:00,16:50                                   ,Dia*,3.6705493,mista                                   ,5,1
675,Paciente1,Experimento 1,30/11/2019 00:00:00,16:50                                   ,Noite*,0.6001917,mista                                   ,6,1
676,Paciente1,Experimento 1,30/11/2019 00:00:00,16:50                                   ,Noite,3.3556045,mista                                   ,7,1
677,Paciente1,Experimento 1,30/11/2019 00:00:00,16:50                                   ,Dia*,2.7961456,mista                                   ,8,1
678,Paciente1,Experimento 1,30/11/2019 00:00:00,16:50                                   ,Noite*,2.6538765,mista                                   ,9,1
679,Paciente1,Experimento 1,30/11/2019 00:00:00,16:50                                   ,Noite*,2.1704861,mista                                   ,10,1
680,Paciente1,Experimento 1,30/11/2019 00:00:00,16:50                                   ,Dia*,2.6582903,mista                                   ,11,1
681,Paciente1,Experimento 1,30/11/2019 00:00:00,16:50                                   ,Dia*,2.238784,mista                                   ,12,1
