ID,PACIENTE,EXPERIMENTADOR,DATA,HORA,CONDICAOVERDADEIRA,TEMPOREACAO,CONDICAO,TENTATIVA,RESULTADO
682,Exp,Exp,30/11/2019 00:00:00,20:29                                   ,Noite,1.2932847,congruente                              ,1,1
683,Exp,Exp,30/11/2019 00:00:00,20:29                                   ,Noite,1.6718452,congruente                              ,2,1
684,Exp,Exp,30/11/2019 00:00:00,20:29                                   ,Noite,1.499415,congruente                              ,3,1
685,Exp,Exp,30/11/2019 00:00:00,20:29                                   ,Noite,1.6678486,congruente                              ,4,1
686,Exp,Exp,30/11/2019 00:00:00,20:29                                   ,Noite,1.6854443,congruente                              ,5,1
687,Exp,Exp,30/11/2019 00:00:00,20:29                                   ,Dia,1.8311157,congruente                              ,6,1
688,Exp,Exp,30/11/2019 00:00:00,20:29                                   ,Noite,1.7804246,congruente                              ,7,1
689,Exp,Exp,30/11/2019 00:00:00,20:29                                   ,Noite,1.4734621,congruente                              ,8,1
690,Exp,Exp,30/11/2019 00:00:00,20:29                                   ,Noite,1.8405349,congruente                              ,9,1
691,Exp,Exp,30/11/2019 00:00:00,20:29                                   ,Noite,1.6833316,congruente                              ,10,1
692,Exp,Exp,30/11/2019 00:00:00,20:29                                   ,Noite,1.9313746,congruente                              ,11,1
693,Exp,Exp,30/11/2019 00:00:00,20:29                                   ,Dia,1.8522481,congruente                              ,12,1
694,Exp,Exp,30/11/2019 00:00:00,20:29                                   ,Noite,2.5933341,incongruente                            ,1,1
695,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Dia,2.1136529,incongruente                            ,2,1
696,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Dia,1.9472722,incongruente                            ,3,1
697,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Dia,2.0297871,incongruente                            ,4,1
698,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Noite,1.9758338,incongruente                            ,5,1
699,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Noite,2.5024717,incongruente                            ,6,1
700,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Dia,2.3435143,incongruente                            ,7,1
701,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Dia,2.1867214,incongruente                            ,8,1
702,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Dia,2.5186247,incongruente                            ,9,1
703,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Noite,2.2306705,incongruente                            ,10,1
704,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Dia,2.6620431,incongruente                            ,11,1
705,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Dia,2.3640843,incongruente                            ,12,1
706,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Noite*,2.4625687,mista                                   ,1,1
707,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Noite,2.2956937,mista                                   ,2,1
708,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Noite*,2.4498085,mista                                   ,3,1
709,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Dia*,2.0228881,mista                                   ,4,1
710,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Dia,2.1694072,mista                                   ,5,1
711,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Noite,1.9316598,mista                                   ,6,1
712,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Dia*,2.3617443,mista                                   ,7,1
713,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Dia*,2.1376245,mista                                   ,8,1
714,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Dia,2.3032876,mista                                   ,9,1
715,Exp,Exp,30/11/2019 00:00:00,20:30                                   ,Dia*,2.4475621,mista                                   ,10,1
716,Exp,Exp,30/11/2019 00:00:00,20:31                                   ,Dia*,2.3326804,mista                                   ,11,1
717,Exp,Exp,30/11/2019 00:00:00,20:31                                   ,Noite,2.6110878,mista                                   ,12,1
