ID,PACIENTE,EXPERIMENTADOR,DATA,HORA,CONDICAOVERDADEIRA,TEMPOREACAO,CONDICAO,TENTATIVA,RESULTADO
26,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,Dia,2.5552843,congruente                              ,1,0
27,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,Dia,3.2815954,congruente                              ,2,0
28,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,Dia,2.3314663,congruente                              ,3,0
29,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,Noite,0.0224024,congruente                              ,4,1
30,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,Dia,2.9030237,congruente                              ,5,0
31,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,Dia,2.0438738,congruente                              ,6,0
32,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,Dia,2.1283439,congruente                              ,7,0
33,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,Noite,4.0424293,congruente                              ,8,0
34,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,Noite,2.4298967,congruente                              ,9,0
35,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,Dia,1.1067675,congruente                              ,10,0
36,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,Dia,1.3139011,congruente                              ,11,0
37,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,Noite,1.2021753,congruente                              ,12,0
38,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,Dia,3.348636,incongruente                            ,1,0
39,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,notNoite,0.864393,incongruente                            ,2,0
40,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,notdia,1.4014376,incongruente                            ,3,0
41,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,notNoite,2.1147432,incongruente                            ,4,0
42,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,notdia,2.2746274,incongruente                            ,5,0
43,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,notdia,1.2855434,incongruente                            ,6,1
44,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,notdia,1.1354195,incongruente                            ,7,0
45,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,notNoite,1.2440125,incongruente                            ,8,1
46,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,notNoite,1.1602881,incongruente                            ,9,0
47,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,notNoite,1.1467727,incongruente                            ,10,1
48,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,notdia,1.0660468,incongruente                            ,11,0
49,Pac1,Exp1,27/11/2019 00:00:00,17:33                                   ,notdia,1.1732814,incongruente                            ,12,1
